[ -19103, -27829, -25188, -20925, -18016, -19589, -20765, -21608, -22365, -21109, -18779, -15276, -20069, -23345, -28476, -25435,  ]
[ 15669, 9225, -9787, -15823, -17444, -21571, -24518, -22335, -20221, -25970, -35717, -32759, -15722, -9486, -12395, -8138,  ]
[ 2578, -18576, -34908, -19459, -11702, -9163, -11512, -11715, -14349, -25590, -41396, -32975, -15694, -14517, -27216, -17154,  ]
[ -4214, -36832, -51198, -23356, 12591, 11580, 5891, 830, -3909, -15965, -27580, -22550, -12418, -17119, -35302, -24239,  ]
[ -7816, -29603, -41249, -21094, 435, -13799, -20711, -20893, -26926, -33818, -38296, -25999, -8084, -6980, -30410, -26641,  ]
[ -15681, -43747, -63782, -51858, -32887, -30004, -20150, -16993, -21719, -24429, -17133, -3199, 7017, -8297, -33560, -26389,  ]
[ -17046, -61014, -107234, -104012, -74040, -54826, -30423, -11373, -4866, -2531, 1735, 1284, -1258, -20097, -46102, -29172,  ]
[ -1257, -20565, -57822, -88619, -87594, -79823, -76479, -65948, -42471, -28742, -19891, -16381, -18906, -32356, -49633, -32253,  ]
[ 2061, 4750, -16294, -39604, -30626, -36178, -67559, -94508, -87896, -81736, -69482, -56022, -48549, -49776, -56586, -32162,  ]
[ -397, -4482, -17140, -55020, -65867, -43942, -50295, -92904, -114361, -132941, -153034, -157947, -137457, -102421, -76174, -37697,  ]
[ -9182, -11306, -32124, -63766, -77771, -65383, -79904, -81016, -58334, -60088, -111934, -155806, -143138, -99149, -76790, -43086,  ]
[ -43937, -64579, -81486, -76664, -56355, -39633, -36375, -40953, -50437, -57541, -62956, -57436, -23951, -7682, -48758, -45620,  ]
[ -40434, -73131, -84784, -73162, -68184, -69901, -62971, -48541, -39681, -36237, -41890, -55962, -58867, -64442, -93089, -68681,  ]
[ 13390, 17149, 16571, 15149, 8122, -903, -6554, -12388, -16904, -11734, -18865, -34301, -46365, -63821, -77108, -42018,  ]
[ 21602, 30038, 25320, 20507, 20478, 17112, 13033, 7493, 8112, 15880, 17353, 8986, 2640, 3191, 2423, 7934,  ]
[ 14920, 25787, 14603, 4581, 722, -2201, -7448, -10617, -9498, -8278, -10936, -14116, -8068, -1642, -8519, -14162,  ]
[ 10297, 21799, 18424, 8512, 6964, 10926, 11354, 11114, 11775, 6384, 5527, 5799, 3653, 2738, -5366, 430,  ]
[ -22516, -47024, -47122, -49937, -55860, -71769, -73697, -74551, -72406, -74233, -71227, -64923, -48886, -37258, -47213, -46558,  ]
[ -24652, -65735, -47529, -32326, -31033, -40987, -49217, -53390, -55217, -59340, -57260, -49030, -33376, -28142, -42149, -49435,  ]
[ -25875, -65424, -46734, -35746, -35077, -37814, -33822, -39662, -42519, -49862, -55245, -43699, -33919, -27546, -42665, -56929,  ]
[ -38546, -66571, -38544, -29432, -42875, -64370, -60612, -56917, -53310, -49889, -51590, -39632, -32499, -33590, -47255, -56196,  ]
[ -44672, -59700, -51876, -31909, -36545, -52993, -58432, -60612, -59728, -55339, -50775, -44396, -29688, -37528, -50844, -55456,  ]
[ -36379, -29364, -17806, -32161, -67893, -69704, -35614, -11841, -13083, -20970, -24628, -29835, -34014, -45559, -59118, -55522,  ]
[ -28185, -1817, 37738, 16951, -29843, -59902, -75300, -53251, -19770, -10015, -11433, -21430, -36288, -51857, -59191, -56083,  ]
[ -32890, -24472, 43071, 77631, 33939, -10243, -43367, -62417, -72206, -79051, -65729, -48249, -43541, -52309, -55282, -52564,  ]
[ -37317, -42460, -15306, 48058, 71490, 47124, -9689, -40356, -53891, -82675, -103346, -115198, -111924, -90788, -63743, -48556,  ]
[ -35239, -56931, -37428, 986, 17806, 20717, 3565, 8297, 14385, -6284, -53382, -92080, -111619, -94996, -67828, -47347,  ]
[ -36402, -90529, -88440, -48598, -32975, -23245, -23965, -11273, 23265, 39305, 18480, -24061, -57404, -65399, -64570, -55086,  ]
[ -35493, -100672, -116824, -100494, -87663, -81059, -57980, -47532, -39163, -21555, -4783, -6170, -17376, -37939, -64002, -58347,  ]
[ -17061, -67216, -69472, -64745, -66110, -68580, -59073, -65108, -66891, -51401, -41255, -41792, -40513, -37372, -48239, -46403,  ]
[ 1092, -10124, 12569, 36644, 47533, 47324, 41430, 29118, 19789, 19763, 26309, 37302, 39367, 33483, 5472, -10680,  ]
[ 3186, 1859, 11537, 27321, 34728, 39089, 37058, 30408, 29776, 33721, 45569, 62253, 60021, 37174, 14164, -19525,  ]
[ 9746, 15245, 18489, 16830, 14108, 15902, 16810, 16954, 16946, 14195, 13834, 23790, 37820, 34755, 15600, -5575,  ]
[ 9004, 15959, -21773, 2166, 7300, -22050, -44180, -37859, -31338, -41546, -59142, -49556, -24744, -41289, -43433, -9564,  ]
[ 2942, 2459, -35535, 19579, 32210, -22911, -55689, -53752, -49656, -73283, -102615, -88167, -38389, -50438, -55140, -6565,  ]
[ 6047, 5508, -30588, 51361, 69040, 16241, -7915, -10933, -18485, -47216, -77919, -70752, -19780, -20646, -39081, -1064,  ]
[ 3639, -1141, -36897, 50421, 62297, 6520, -3899, -9320, -29161, -55026, -65871, -63287, -26340, -12514, -30629, -1477,  ]
[ 8948, -8510, -48068, 25296, 23654, -23393, -23531, -27355, -42981, -52229, -49499, -47768, -17408, -15376, -36573, -1021,  ]
[ 17650, 513, -57015, -31633, -32442, -59262, -51804, -42086, -43094, -39380, -36996, -35764, -14705, -28694, -49873, -3648,  ]
[ 17990, 13387, -43106, -54420, -66148, -81452, -83464, -72360, -45941, -28104, -22845, -19795, -11827, -37797, -55059, -5181,  ]
[ 11239, 28527, -19659, -27206, -31372, -24612, -70066, -102480, -86106, -71734, -54503, -41718, -33128, -49554, -54948, -4446,  ]
[ 7241, 21279, -30021, -5832, 13180, 59942, 4098, -72678, -83836, -100142, -104260, -108138, -87244, -75517, -64601, -11953,  ]
[ 9940, 14295, -38103, -19064, 39716, 103796, 31727, -36525, -38189, -54051, -75113, -110666, -109553, -89663, -77514, -21927,  ]
[ 2655, -11554, -63863, -50519, -2383, 41371, 8019, -41336, -22920, -16217, -34206, -90113, -92697, -75766, -81271, -35257,  ]
[ 16241, -17232, -79790, -70525, -49224, -38770, -60312, -86705, -50520, -24351, -27730, -74643, -91710, -91070, -113764, -52363,  ]
[ 44343, 10448, -62477, -70030, -65395, -62972, -65605, -83370, -58762, -39769, -50151, -68380, -75193, -82663, -120643, -55469,  ]
[ 44737, 30589, -32409, -42222, -38996, -32949, -37595, -50435, -39020, -29674, -33853, -36708, -32583, -51021, -84108, -29760,  ]
[ 24983, 29781, -14801, -25519, -14120, -3097, -11694, -23844, -21972, -25802, -21833, -11480, -16129, -31317, -46891, -8062,  ]
[ 2513, 10043, -8899, -19647, -13415, -1062, -5664, -14030, -16306, -22779, -15289, -5581, -4399, -8785, -21034, 2907,  ]
[ 1984, -2610, -17893, -13613, 12089, 16343, 8137, 5504, 10903, 16143, 8581, -66, 2307, -4728, -16653, -20794,  ]
[ 10306, -213, -28763, -40244, -7668, -8870, -17381, -17773, -8126, -4715, -9417, -16260, -5860, -1270, -8243, -24171,  ]
[ 24451, 13157, -37872, -57840, -14871, -2015, -2621, 1005, 149, -8134, -17146, -26214, -15055, 496, 7445, -17945,  ]
[ 21630, 7337, -46147, -57932, -12546, 14614, 17559, 24118, 17622, 1018, -11183, -18398, -19063, -9271, -1135, -20112,  ]
[ 25737, 15962, -22103, -14216, 21609, 22104, 14524, 17555, 14070, 5420, -1009, -6098, -7501, -5310, -4767, -20454,  ]
