[ 0, 8, 102, 80, 76, 102, 40, 0 ]
[ 0, 1, 144, 100, 87, 105, 19, 0 ]
[ 43, 90, 181, 34, 5, 9, 0, 0 ]
[ 0, 12, 145, 227, 134, 65, 7, 0 ]
[ 5, 0, 1, 172, 101, 275, 205, 16 ]
[ 140, 159, 117, 213, 98, 189, 154, 85 ]
[ 54, 22, 0, 28, 29, 26, 29, 33 ]
[ 3, 3, 1, 0, 4, 11, 18, 37 ]
[ 124, 86, 53, 74, 79, 59, 79, 64 ]
[ 109, 50, 0, 0, 13, 0, 1, 50 ]
[ 63, 80, 64, 74, 44, 35, 55, 52 ]
[ 125, 118, 0, 80, 134, 156, 156, 79 ]
[ 107, 305, 21, 0, 0, 32, 88, 43 ]
[ 15, 96, 174, 53, 40, 76, 65, 0 ]
[ 0, 8, 24, 8, 3, 32, 7, 0 ]
[ 0, 0, 0, 0, 0, 0, 0, 0 ]
[ 0, 0, 0, 0, 0, 0, 0, 0 ]
[ 0, 16, 25, 0, 0, 0, 0, 0 ]
[ 0, 0, 0, 0, 0, 0, 0, 0 ]
[ 0, 0, 0, 0, 0, 0, 0, 0 ]
[ 0, 0, 162, 8, 0, 0, 0, 0 ]
[ 0, 0, 17, 0, 0, 0, 0, 0 ]
[ 100, 0, 0, 0, 0, 0, 0, 0 ]
[ 42, 0, 0, 0, 0, 0, 0, 0 ]
[ 0, 0, 0, 0, 0, 0, 0, 0 ]
[ 0, 0, 0, 0, 0, 0, 0, 0 ]
[ 0, 0, 0, 0, 0, 0, 0, 0 ]
[ 0, 0, 0, 0, 0, 0, 0, 0 ]
[ 0, 0, 0, 0, 0, 0, 0, 0 ]
[ 0, 0, 0, 0, 0, 0, 0, 0 ]
[ 0, 0, 0, 0, 0, 0, 0, 0 ]
[ 0, 0, 0, 0, 0, 0, 0, 0 ]
[ 0, 0, 40, 39, 41, 31, 7, 0 ]
[ 0, 0, 61, 0, 0, 5, 5, 0 ]
[ 0, 9, 112, 44, 19, 62, 19, 0 ]
[ 12, 0, 19, 59, 5, 2, 0, 0 ]
[ 0, 0, 17, 78, 0, 23, 19, 0 ]
[ 13, 74, 155, 180, 165, 133, 99, 1 ]
[ 68, 30, 35, 68, 81, 60, 41, 0 ]
[ 34, 6, 6, 9, 4, 7, 0, 3 ]
[ 38, 8, 89, 51, 48, 20, 42, 0 ]
[ 59, 3, 56, 48, 9, 0, 22, 0 ]
[ 78, 201, 262, 90, 14, 13, 44, 0 ]
[ 49, 98, 286, 304, 197, 151, 90, 0 ]
[ 81, 32, 44, 243, 106, 209, 117, 0 ]
[ 150, 102, 33, 50, 56, 206, 153, 20 ]
[ 106, 56, 10, 37, 49, 49, 48, 0 ]
[ 8, 20, 4, 11, 10, 0, 0, 0 ]
[ 0, 0, 0, 0, 0, 0, 0, 0 ]
[ 0, 0, 0, 0, 0, 4, 12, 0 ]
[ 0, 19, 40, 4, 2, 47, 26, 0 ]
[ 0, 109, 99, 90, 23, 12, 0, 0 ]
[ 0, 9, 0, 4, 0, 0, 2, 1 ]
[ 0, 21, 35, 15, 94, 189, 160, 60 ]
[ 35, 0, 0, 0, 0, 0, 3, 53 ]
[ 17, 6, 11, 2, 0, 7, 34, 85 ]
[ 0, 0, 8, 3, 10, 0, 0, 7 ]
[ 0, 0, 0, 0, 0, 0, 0, 0 ]
[ 0, 0, 0, 0, 0, 0, 0, 0 ]
[ 0, 0, 0, 0, 0, 0, 0, 0 ]
[ 0, 0, 0, 0, 0, 0, 0, 0 ]
[ 0, 3, 38, 23, 31, 0, 0, 0 ]
[ 0, 0, 0, 0, 2, 0, 0, 0 ]
[ 9, 0, 0, 5, 0, 0, 0, 6 ]
[ 0, 0, 0, 0, 0, 0, 0, 0 ]
[ 0, 0, 0, 0, 0, 0, 0, 0 ]
[ 0, 0, 0, 0, 0, 0, 0, 0 ]
[ 0, 0, 0, 0, 0, 0, 0, 0 ]
[ 0, 0, 0, 0, 0, 0, 0, 0 ]
[ 0, 0, 0, 0, 0, 0, 0, 0 ]
[ 0, 0, 0, 0, 0, 0, 0, 0 ]
[ 0, 0, 0, 0, 0, 1, 14, 0 ]
[ 113, 78, 0, 0, 0, 0, 0, 121 ]
[ 180, 131, 0, 0, 0, 9, 8, 172 ]
[ 117, 34, 0, 0, 0, 6, 17, 183 ]
[ 134, 212, 70, 0, 0, 0, 2, 180 ]
[ 133, 238, 196, 0, 0, 0, 0, 117 ]
[ 36, 12, 39, 0, 4, 4, 0, 170 ]
[ 33, 0, 0, 0, 0, 0, 0, 112 ]
[ 43, 0, 0, 0, 0, 4, 45, 153 ]
[ 0, 0, 55, 30, 31, 48, 14, 0 ]
[ 0, 0, 80, 100, 112, 122, 26, 0 ]
[ 0, 30, 156, 112, 136, 101, 3, 0 ]
[ 0, 83, 230, 121, 25, 3, 0, 0 ]
[ 0, 0, 33, 254, 238, 267, 108, 0 ]
[ 79, 38, 12, 187, 111, 296, 204, 38 ]
[ 201, 181, 126, 121, 90, 107, 139, 84 ]
[ 14, 6, 6, 22, 23, 35, 80, 43 ]
[ 0, 0, 66, 46, 50, 78, 21, 0 ]
[ 0, 0, 60, 62, 64, 55, 18, 0 ]
[ 0, 14, 106, 56, 58, 67, 12, 0 ]
[ 0, 0, 93, 123, 29, 18, 0, 0 ]
[ 0, 0, 0, 85, 0, 21, 6, 0 ]
[ 0, 40, 0, 68, 78, 125, 107, 9 ]
[ 162, 156, 111, 119, 130, 99, 47, 4 ]
[ 76, 82, 76, 81, 79, 43, 0, 0 ]
[ 0, 15, 53, 0, 0, 0, 0, 0 ]
[ 0, 24, 92, 0, 0, 0, 0, 0 ]
[ 0, 0, 2, 0, 0, 0, 0, 0 ]
[ 0, 0, 0, 0, 0, 0, 0, 0 ]
[ 0, 11, 49, 0, 0, 0, 0, 0 ]
[ 0, 0, 0, 0, 0, 0, 0, 0 ]
[ 52, 0, 0, 0, 0, 0, 0, 0 ]
[ 41, 3, 7, 17, 9, 0, 0, 1 ]
[ 56, 0, 0, 0, 0, 0, 0, 18 ]
[ 62, 0, 0, 0, 0, 0, 0, 37 ]
[ 45, 0, 0, 0, 0, 0, 1, 53 ]
[ 121, 111, 0, 0, 0, 0, 0, 46 ]
[ 69, 157, 130, 11, 0, 0, 0, 16 ]
[ 0, 0, 20, 0, 26, 17, 0, 0 ]
[ 4, 0, 0, 0, 0, 0, 0, 0 ]
[ 7, 0, 0, 0, 0, 0, 0, 0 ]
[ 0, 0, 0, 0, 0, 0, 0, 0 ]
[ 0, 0, 0, 0, 0, 0, 0, 0 ]
[ 0, 0, 0, 0, 0, 0, 0, 0 ]
[ 0, 0, 7, 0, 0, 0, 0, 0 ]
[ 0, 0, 0, 0, 0, 0, 0, 0 ]
[ 0, 0, 0, 0, 0, 0, 0, 0 ]
[ 0, 0, 0, 0, 0, 0, 0, 0 ]
[ 0, 0, 0, 0, 0, 0, 0, 0 ]
[ 51, 0, 0, 0, 0, 0, 0, 0 ]
[ 102, 0, 47, 1, 0, 0, 0, 0 ]
[ 63, 0, 0, 0, 0, 0, 0, 0 ]
[ 46, 6, 68, 0, 0, 0, 0, 0 ]
[ 70, 0, 118, 91, 0, 0, 0, 0 ]
[ 90, 0, 0, 0, 0, 0, 0, 0 ]
[ 114, 0, 0, 0, 0, 0, 0, 7 ]
[ 57, 3, 0, 0, 0, 0, 11, 49 ]
[ 0, 13, 99, 57, 50, 49, 6, 0 ]
[ 0, 15, 84, 9, 0, 9, 3, 0 ]
[ 0, 55, 73, 0, 0, 0, 0, 0 ]
[ 0, 0, 55, 101, 54, 15, 0, 0 ]
