[ -13578, -23495, 7443, 7910, 1025, -11541, -8848, -9424, -9276, -16036, -21875, -18681, -5052, 2987, -4038, -5937 ]
[ -18399, -29182, 3992, 4429, 97, -440, 319, -280, -813, -624, -1532, 3749, 5204, 6939, 1037, -5295 ]
[ -19525, -41112, -29533, -33782, -19289, 7989, 16472, 15248, 14876, 16579, 17460, 15415, 8617, 4644, 1896, -4507 ]
[ -12848, -17852, 12641, -1048, -38978, -51195, -22577, 195, 7616, 9137, 9657, 7736, 6218, 6444, 1756, -4871 ]
[ -13736, -14595, 25562, 20414, 3891, -36640, -56332, -33458, -14880, -50, 4962, 5918, 6282, 6419, 2465, -3631 ]
[ -15592, -24049, 6414, 7730, -26770, -21123, -8867, -3932, -22397, -34805, -33160, -22073, -8033, 2682, 2617, -2343 ]
[ -13646, -23333, -154, -7196, -7076, -11773, -31167, -27256, -8618, -14018, -19579, -40658, -43451, -25522, -8535, -5543 ]
[ -16450, -27990, 668, 14227, 41834, 48928, 36777, 24241, 11359, 21431, 36886, 39384, 43202, 16803, 6595, -1618 ]
[ -16103, -33005, -16178, -4205, 3703, 8484, 13973, 16258, -3080, 7205, 18808, 23056, 27685, 9599, -3075, -6768 ]
[ -15235, -17776, -4898, 1379, 3686, 2850, 4913, -715, -9398, -10893, -14695, -15112, -16053, -26119, -24746, -13755 ]
[ -17617, -17731, -3305, 1602, 1186, 1128, 2090, 1201, 2009, 2403, 6348, 3864, -3307, -3502, -4159, -5141 ]
[ -17800, -16843, -1773, 2525, -2143, -3288, -1929, 910, 2208, 2783, 938, -9256, -6557, 2819, -3380, -12000 ]
[ -586, -3821, -2020, -1690, -614, 234, -1797, -1030, -573, -871, -1774, 2563, 14701, 10908, 105, 3214 ]
[ 4976, 9995, 568, 4310, 1139, 438, -2204, -1690, -1453, -2131, -2595, 479, 278, 1895, 1400, -888 ]
[ 3905, 8026, 9344, 17503, 4217, 1241, -2227, 537, 685, -3876, -6404, -4562, 3587, 3567, 1476, 6894 ]
[ 289, 6733, 11466, 17901, 6575, 124, -2320, -1634, -3222, -7319, -8271, -6361, -365, 5047, 1955, 11857 ]
[ -151, 8534, 11100, 4630, -3884, -6625, -10315, -10482, -11763, -14360, -14534, -8655, -7809, 4284, 1846, 11835 ]
