[ 48930, 28046, 31660, 10602, 39977, 46908, 18472, 12089 ]
[ 56359, 54941, 48062, 38410, 34690, 19674, 11993, 1082 ]
[ 17096, -12569, -28959, -60387, -65204, -47811, 1268, 15570 ]
[ 26155, -9489, -32417, -50233, -73188, -51429, -6646, 3060 ]
[ 29285, -36604, -57847, -31833, -21944, -24575, 9152, 13584 ]
[ 39938, 25858, -20734, -60924, -59256, -49484, 7948, 30247 ]
[ 17773, 90785, 128972, 42191, -13422, -72922, -39588, 10331 ]
[ -30587, -39064, -37679, -39515, -25427, -75976, -53428, 68 ]
[ -36206, -89168, -114660, -95740, -70405, -63633, -8344, 27775 ]
[ -274, -15691, -30413, -34312, -30460, -29920, -1408, 28517 ]
[ 215, 20277, 39746, 3439, 10973, 11327, 24432, -14047 ]
[ -14854, 23358, 46848, 49174, 89952, 90714, 79788, 2710 ]
[ -29894, 15018, -1482, 3627, 15725, 19379, 24476, -22391 ]
[ -539, 52964, 87005, 123004, 56203, 42299, 25306, -15070 ]
[ -22102, -42243, -42770, -20301, 38301, 59236, 38780, -12440 ]
[ 51418, -9013, -5534, -42004, 44133, 77459, 86985, 32380 ]
[ 86763, 101442, 130288, 120821, 134532, 109311, 110997, 62683 ]
[ 53728, 75880, 110994, 109108, 101991, 85986, 88775, 51993 ]
[ -6636, 5432, -32971, -37142, -40728, -44428, -39802, -13783 ]
[ -14022, -24767, -70031, -48407, -34242, -44671, -47321, -14745 ]
[ 3594, -24466, -89673, -56370, -44161, -77861, -72261, -22637 ]
[ 4097, 64965, -41671, -68768, -44970, -53536, -29597, -5161 ]
[ -24292, 67216, 25623, -2219, 10934, -34546, -49643, -11253 ]
[ -74216, -59131, -85050, -75003, -37114, -66008, -79277, -34646 ]
[ -61909, -61370, -36507, -50401, -25164, 4489, 6830, -11097 ]
[ -2647, 19005, 50290, 42764, 44687, 74402, 53145, -9677 ]
[ 15117, 32603, 28394, 49794, 34599, 31929, 15766, 15068 ]
[ 5929, 64983, 44863, 55784, 28995, 21318, 6510, 17299 ]
[ -520, 44965, 35305, 80794, 80086, 43084, 16566, 23086 ]
[ 22431, 64663, 16226, 71589, 57010, 56182, 55318, 39433 ]
[ 14763, 100181, 67188, 68118, 59893, 16722, 8863, 25686 ]
[ -31100, 47725, 18157, 16412, 76642, 51805, 30413, 16122 ]
[ -18719, 33270, 40724, 50437, 64744, 62694, 33717, 3481 ]
[ 2722, 48803, 49814, 41922, 44498, 33950, 18099, -1457 ]
[ -68048, -125083, -90505, -74187, -60966, -35772, -42589, -23223 ]
[ -117185, -205144, -175718, -125443, -96334, -47378, -50744, -12743 ]
[ -139658, -207429, -215597, -202666, -135123, -61319, -55565, -23539 ]
[ -179478, -277034, -250588, -147303, -128922, -79827, -86536, -39668 ]
[ -189332, -292662, -309204, -215922, -214033, -142447, -123034, -59355 ]
[ -169135, -191329, -195094, -122308, -159210, -149032, -89530, -37156 ]
[ -164018, -125958, -102108, -91831, -117681, -81900, -39529, -18197 ]
[ -124394, -44922, -25596, -27830, -32396, -57216, -79711, -21243 ]
[ 24217, -5099, 28535, 28137, 25525, 29633, 28484, 20444 ]
[ 26657, -9339, 11266, 12084, 31117, 37174, 25801, 15930 ]
[ 9588, -51859, -60311, -23858, 14816, 31906, 15430, -379 ]
[ 73783, 5270, -8799, -20381, -18433, 3667, -8015, -14539 ]
